scholarship,eligibility,amount,last_date
INSPIRE Scholarship,Top 1 percent in Class 12,80000,October
AICTE Pragati,Girls in Technical Education,50000,November
PM Scholarship,Defense Ward,36000,October
National Scholarship,Economically Weaker Students,75000,December
Foundation For Excellence,Engineering Students,60000,September
LIC Golden Jubilee,UG Students,40000,August
Reliance Foundation Scholarship,Merit Based,200000,October
Tata Scholarship,Engineering Students,100000,November
Sitaram Jindal Scholarship,Merit Based,90000,September
Post Matric Scholarship,SC/ST/OBC,50000,December